ID,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Skill_Standard,Grade_Level
273,What is the conjugate of -3 + 4i?,-3 - 4i,3 + 4i,3 - 4i,-3 + 4i,A,HSN.CN.A.3,11
274,Simplify i^4,1,-1,i,#NAME?,A,HSN.CN.A.1,11
275,Identify the polynomial degree: 4x^3 + 2x^2 + 7,4,2,7,3,D,HSA.APR.A.1,11
276,Log base b of 1 is always:,0,1,b,undefined,A,HSF.LE.A.4,11
277,Solve rational eq: 1/x + 1/2 = 3/x,x = 4,x = 2,x = 1,x = 0,A,HSA.REI.A.2,11
278,Binomial expansion of (x+y)^2 is:,x^2 + 2xy + y^2,x^2 + y^2,x^2 + xy + y^2,2x + 2y,A,HSA.APR.C.5,11
279,Find the radius of x^2 + y^2 = 49,7,49,24.5,1,A,HSG.GPE.A.1,11
280,What is the period of y = sin(x)?,2pi,pi,360,90,A,HSF.TF.B.5,11
281,Events A and B are independent if P(A and B) =,P(A) * P(B),P(A) + P(B),P(A) - P(B),0,A,HSS.CP.A.2,11
282,Simplify: (27)^(1/3),3,9,1,27,A,HSN.RN.A.2,11
283,Solve: e^x = 1,1,e,10,0,D,HSF.LE.A.4,11
284,Matrix addition is only possible if:,Dimensions are the same,Columns match rows,They are square,Determinant is non-zero,A,HSN.VM.C.8,11
285,"What is the 5th term of 2, 4, 8, 16...?",24,30,20,32,D,HSF.BF.A.2,11
286,If discriminant is negative roots are:,Imaginary,Real,Equal,Rational,A,HSA.REI.B.4,11
287,Function y = 2(x-1)^2 + 4 opens:,Down,Left,Right,Up,D,HSF.IF.C.7,11
288,Convert 180 degrees to radians.,2pi,pi,pi/2,3pi/2,B,HSF.TF.A.1,11
289,Simplify: log(a) - log(b),log(a/b),log(a-b),log(ab),log(a)/log(b),A,HSF.LE.A.4,11
290,Solve: x^2 = -9,3i and -3i,3 and -3,No solution,9i,A,HSN.CN.C.7,11
291,The inverse of an exponential function is:,Logarithmic,Quadratic,Linear,Rational,A,HSF.LE.A.4,11
292,Simplify: x^-2,1/x^2,#NAME?,x^2,-2x,A,HSN.RN.A.1,11
293,What is the horizontal asymptote of y = (2x)/(x+1)?,y = 1,x = -1,y = 0,y = 2,D,HSF.IF.C.7,11
294,Calculate 10 C 1 (Combinations),1,100,0,10,D,HSS.CP.B.9,11
295,Probability of flipping Heads 3 times in a row?,45665,45663,45659,45718,A,HSS.CP.A.2,11
296,Which function models rapid population growth?,Exponential,Linear,Quadratic,Logarithmic,A,HSF.LE.A.1,11
297,Find the amplitude of y = 4sin(x),1,2pi,0,4,D,HSF.TF.B.5,11
298,Solve for x: 5^(x+1) = 25,1,2,3,0,A,HSF.LE.A.4,11
299,What is 0! (Zero Factorial)?,0,Undefined,Infinity,1,D,HSS.CP.B.9,11
300,The graph of x^2 + y^2 = r^2 is a:,Parabola,Ellipse,Hyperbola,Circle,D,HSG.GPE.A.1,11
301,"Convert the polar coordinate (4, 180 deg) to rectangular form.",(4 0),(0 4),(0 -4),(-4 0),D,PreCalc,11
302,"Find the magnitude of vector v = <3,4>.",7,25,1,5,D,PreCalc,11
303,Which function is the inverse of f(x) = ln(x)?,f(x) = 1/x,f(x) = x^2,f(x) = e^x,f(x) = log(x),C,PreCalc,11
304,Evaluate: cos(pi/3),sqrt(3)/2,1,0,45659,D,PreCalc,11
305,"Find the dot product of u=<1, 2> and v=<3,4>.",11,7,5,10,A,PreCalc,11
306,What is the period of y = 2cos(4x)?,4pi,2pi,pi,pi/2,D,PreCalc,11
307,Solve for theta: 2sin(theta) = 1 (in Quadrant I),60 degrees,45 degrees,30 degrees,90 degrees,C,PreCalc,11
308,Simplify: (sin^2 x + cos^2 x) / tan x,tan x,1,sec x,cot x,D,PreCalc,11
309,"Convert 2 + 2i to polar form (r,  theta).",(2sqrt(2) 45 deg),(2 45 deg),(4 90 deg),(2sqrt(2) 30 deg),A,PreCalc,12 
310,Find the vertical asymptote of f(x) = (x+1)/(x-3).,x = 3,x = -1,y = 1,y = 0,A,PreCalc,45973
311,"Evaluate sum of infinite geometric series: 1, 1/2, 1/4, …",1,infinity,1.5,2,D,PreCalc,12-Nov
312,"If f(x) = x^3 is transformed to f(x-2), it moves:",Left 2,Up 2,Down 2,Right 2,D,PreCalc,12-Nov
313,Evaluate the limit: lim x->3 of (x^2 - 9)/(x - 3).,0,Undefined,9,6,D,Calc 1,12
314,What is the derivative of f(x) = x^4?,4x^3,x^3,4x,3x^4,A,Calc 1,12
315,Find the derivative of sin(x).,cos(x),#NAME?,#NAME?,tan(x),A,Calc 1,12
316,The slope of the tangent line to y = x^2 at x = 3 is:,9,3,1,6,D,Calc 1,12
317,Evaluate integral: S 2x dx.,x^2 + C,2x^2 + C,2 + C,x + C,A,Calc 1,12
318,If f'(x) > 0 on an interval  f(x) is:,Decreasing,Constant,Concave Up,Increasing,D,Calc 1,12
319,Find derivative of y = e^(2x) (Chain Rule).,e^(2x),2xe^(2x),e^x,2e^(2x),D,Calc 1,12
320,Identify the critical point of f(x) = x^2 - 4x.,x = 4,x = 0,x = -2,x = 2,D,Calc 1,12
321,Evaluate: lim x->infinity of (3x^2 + 1)/(x^2 - 5).,0,1,infinity,3,D,Calc 1,12
322,What does the second derivative f''(x) tell us?,Slope,Velocity,Area,Concavity,D,Calc 1,12
323,Product Rule: d/dx [u*v] =,u'v + uv',u'v - uv',u'v',u' + v',A,Calc 1,12
324,Evaluate integral from 0 to 2 of x dx.,4,1,0,2,D,Calc 1,12
325,Derivative of ln(x) is:,e^x,1,x,1/x,D,Calc 1,12
326,Find the derivative of y = tan(x).,cot(x),sec(x)tan(x),sin^2(x),sec^2(x),D,Calc 1,12
327,Use L'Hopital's Rule for lim x->0 (sin x)/x.,0,infinity,undefined,1,D,Calc 1,12
328,Implicit differentiation of x^2 + y^2 = 25 gives dy/dx =,#NAME?,x/y,#NAME?,y/x,A,Calc 1,12
329,Acceleration is the derivative of:,Position,Time,Speed,Velocity,D,Calc 1,12
330,Mean Value Theorem guarantees a point where slope equals:,Zero,Infinity,Min Value,Average Rate of Change,D,Calc 1,12
331,Integral of cos(x) dx is:,sin(x) + C,-sin(x) + C,cos(x) + C,-cos(x) + C,A,Calc 1,12
332,Find the area under y = x from x=0 to x=4.,16,4,2,8,D,Calc 1,12
333,If f''(x) < 0  the graph is:,Concave Up,Increasing,Decreasing,Concave Down,D,Calc 1,12
334,Derivative of y = 5^x is:,5^x,x * 5^(x-1),ln(5)/5^x,5^x * ln(5),D,Calc 1,12
335,Related Rates: If Area A = pi*r^2  then dA/dt =,pi*r * dr/dt,2*pi * dr/dt,r * dr/dt,2*pi*r * dr/dt,D,Calc 1,12
336,Integration by Parts formula: S u dv =,uv + S v du,u'v - uv',uv - u'v,uv - S v du,D,Calc 2,12
337,Evaluate integral of 1/x dx.,-1/x^2 + C,e^x + C,1 + C,ln|x| + C,D,Calc 2,12
338,The harmonic series (1 + 1/2 + 1/3...) is:,Convergent to 1,Convergent to 0,Oscillating,Divergent,D,Calc 2,12
339,Taylor Series for e^x starts with:,1 - x + x^2/2!...,x - x^3/3!...,1 + x + x^2...,1 + x + x^2/2!...,D,Calc 2,12
340,Volume of revolution (Disk Method) formula:,2pi * S x*f(x) dx,S (f(x))^2 dx,pi * S f(x) dx,pi * S (f(x))^2 dx,D,Calc 2,12
341,Integrate using U-Sub: S 2x(x^2 + 1)^3 dx.,(1/4)(x^2+1)^4 + C,(x^2+1)^4 + C,4(x^2+1)^4 + C,3(x^2+1)^2 + C,A,Calc 2,12
342,A geometric series converges if common ratio |r| is:,Greater than 1,Equal to 1,Zero,Less than 1,D,Calc 2,12
343,Integral of e^(3x) dx is:,3e^(3x) + C,e^(3x) + C,e^(3x)/x + C,(1/3)e^(3x) + C,D,Calc 2,12
344,Parametric eq x=cos(t) y=sin(t) forms a:,Line,Parabola,Hyperbola,Circle,D,Calc 2,12
345,Identify the test: lim n->inf |a_(n+1)/a_n| < 1.,Root Test,Integral Test,Comparison Test,Ratio Test,D,Calc 2,12
346,Polar Area formula: A =,S r d(theta),pi * S r^2 d(theta),1/2 * S r d(theta),1/2 * S r^2 d(theta),D,Calc 2,12
347,Evaluate sum: 1 - 1/2 + 1/4 - 1/8...,45659,1,45750,45691,D,Calc 2,12
348,Integral of 1/(1+x^2) dx is:,arcsin(x) + C,ln(1+x^2) + C,tan(x) + C,arctan(x) + C,D,Calc 2,12
349,Euler's Method is used to:,Find exact roots,Calculate Area,Find limits,Approximate solutions to Diff Eqs,D,Calc 2,12
350,Maclaurin series is a Taylor series centered at:,x = 1,x = infinity,x = -1,x = 0,D,Calc 2,12
351,"Find the median of: 1, 3, 3, 6, 7, 8, 9.",3,7,5.5,6,D,Stats,HS
352,Standard Deviation measures:,Center,Accuracy,Total,Spread/Dispersion,D,Stats,HS
353,"In a Normal Distribution, 68% of data",2 SD of mean,3 SD of mean,0.5 SD of mean,1 SD of mean,D,Stats,HS
354,A correlation coefficient r = -0.9 indicates:,Weak negative relationship,Strong positive relationship,No relationship,Strong negative linear relationship,D,Stats,HS
355,Z-score formula is:,z = (mean - x) / SD,z = SD / (x - mean),z = x - mean,z = (x - mean) / SD,D,Stats,HS
356,Type I Error is:,Failing to reject false null,Calculation error,Sampling bias,Rejecting a true null hypothesis,D,Stats,HS
357,Probability of rolling two 6s on dice?,45663,45694,45669,13150,D,Stats,HS
358,The total area under a probability density curve is:,100,0.5,Unknown,1,D,Stats,HS
359,Central Limit Theorem involves the distribution of:,Population Data,Sample Errors,Outliers,Sample Means,D,Stats,HS
360,Which is robust to outliers?,Mean,Range,Standard Deviation,Median,D,Stats,HS
361,P(A or B) for mutually exclusive events is:,P(A) * P(B),P(A) - P(B),P(A)/P(B),P(A) + P(B),D,Stats,HS
362,Binomial dist requires independent trials with:,Three outcomes,Continuous data,Changing probability,Two possible outcomes,D,Stats,HS
363,If P-value < alpha (0.05) we:,Fail to Reject Null,Accept Null,Retest,Reject Null Hypothesis,D,Stats,HS
364,Residual in regression is:,Predicted y - Actual y,Slope,Intercept,Actual y - Predicted y,D,Stats,HS
365,Sampling method where every member has equal chance?,Cluster,Stratified,Convenience,Simple Random Sample,D,Stats,HS
366,Chi-Square test is often used for:,Means comparison,Prediction,Time series,Categorical data/Independence,D,Stats,HS
367,A 95% Confidence Interval means:,95% of data is in the interval,The parameter is 95,There is a 5% chance of error,We are 95% confident the true parameter is in the interval,D,Stats,HS
368,Null Hypothesis usually states:,There is an effect,The data is flawed,The result is positive,No effect / No difference,D,Stats,HS
369,Which graph is best for quantitative data?,Bar Chart,Pie Chart,Venn Diagram,Histogram,D,Stats,HS
370,IQR (Interquartile Range) is:,Q3 + Q1,Max - Min,Median - Mean,Q3 - Q1,D,Stats,HS
371,Permutation order matters? (Yes/No),No,Sometimes,Only for small n,Yes,D,Stats,HS
372,Identify the Skew: Tail extends to the right.,Left Skewed (Negative),Symmetric,Normal,Right Skewed (Positive),D,Stats,HS
373,Degrees of Freedom for t-test (sample size n):,n,n - 2,n + 1,n - 1,D,Stats,HS
374,Coefficient of Determination is:,r,Slope,Mean,r^2,D,Stats,HS
375,Continuous variable example:,Shoe Size,Number of siblings,Coin flips,Height,D,Stats,HS
376,If Mean > Median distribution,Left Skewed,Symmetric,Bimodal,Right Skewed,D,Stats,HS
377,Linear Regression equation:,y = mx + b,y = x^2,y = e^x,y-hat = a + bx,D,Stats,HS
378,Which variable is the explanatory variable?,Dependent (y),Response,Confounding,Independent (x),D,Stats,HS
379,Law of Large Numbers states:,Sample mean deviates more as n increases,Outliers don't matter,Probability changes over time,Sample mean approaches population mean as n increases,D,Stats,HS
380,Bayes Theorem calculates:,Standard Deviation,Mean,Median,Conditional Probability,D,Stats,HS
381,Simpson's Paradox involves:,Outliers skewing mean,Correlation implies causation,Sample size too small,Trends reversing when groups combined,D,Stats,HS
382,Standard Error of the Mean formula:,SD * n,SD / n,Mean / n,SD / sqrt(n),D,Stats,HS
383,Margin of Error depends on:,Mean and Median,Sample size only,Population size,Critical value and Standard Error,D,Stats,HS
384,Poisson distribution models:,Success/Fail,Measurements,Rankings,Count of events in fixed interval,D,Stats,HS
385,Skewness of Normal Curve is:,1,-1,Undefined,0,D,Stats,HS
386,ANOVA stands for:,Analysis of Variables,Annual Variable Assessment,Another Value Added,Analysis of Variance,D,Stats,HS
387,P(A|B) is read as:,Probability of A and B,Probability of A or B,Probability of B given A,Probability of A given B,D,Stats,HS
388,Bernoulli trial has how many outcomes?,1,Infinite,10,2,D,Stats,HS
389,Observational study vs Experiment?,Observation manipulates variables,No difference,Experiment is always better,Experiment imposes treatment,D,Stats,HS
390,Double-Blind means:,Both know,Only subject knows,Only evaluator knows,Neither subject nor evaluator knows treatment,D,Stats,HS
391,"Mode of: 2, 2, 3, 4 is",3,4,2.75,2,D,Stats,HS
392,Variance is:,Square root of SD,Mean absolute deviation,Range / 2,Standard Deviation squared,D,Stats,HS
393,Sum of probabilities in sample space:,100,0,Infinite,1,D,Stats,HS
394,Complement Rule: P(not A) =,1 + P(A),P(A) - 1,1 / P(A),1 - P(A),D,Stats,HS
395,Quantitative Discrete data example:,Height,Weight,Temperature,Number of students,D,Stats,HS
396,Stratified sampling divides population into:,Clusters (heterogeneous),Simple lists,Random groups,Strata (homogeneous groups),D,Stats,HS
397,t-distribution is used when:,Sample is large,Population is skewed,Data is categorical,Population SD unknown,D,Stats,HS
398,Power of a test is:,Probability of Type I error,1 - Beta,Probability of accepting null,Probability of correctly rejecting false null,D,Stats,HS
399,Extrapolation is:,Predicting inside range,Interpolation,Sampling,Predicting outside data range,D,Stats,HS
400,A placebo is:,Active drug,The experimenter,The variable,Fake treatment/Control,D,Stats,HS
401,A car travels 100 meters in 5 seconds. What is its average speed?,20 m/s,50 m/s,500 m/s,10 m/s,A,HS-PS2 (Kinematics),HS
402,Calculate the force needed to accelerate a 10 kg object at 2 m/s^2.,5 N,20 N,12 N,8 N,B,HS-PS2.A (Newton's 2nd Law),HS
403,What is the Kinetic Energy of a 2 kg ball moving at 3 m/s?,6 J,9 J,18 J,36 J,B,HS-PS3.A (Kinetic Energy),HS
404,"A 5 kg rock is held 10 m above the ground. Potential Energy (PE = mgh, g=10)?",50 J,500 J,2 J,15 J,B,HS-PS3.A (Gravitational PE),HS
405,Calculate the current in a circuit with 12 Volts and 4 Ohms resistance.,48 Amps,3 Amps,0.33 Amps,8 Amps,B,HS-PS3 (Ohm's Law),HS
406,What is the momentum of a 4 kg object moving at 5 m/s?,20 kg*m/s,1.25 kg*m/s,9 kg*m/s,1 kg*m/s,A,HS-PS2 (Momentum),HS
407,A wave has a frequency of 10 Hz and wavelength of 2 m. What is the speed?,20 m/s,5 m/s,0.2 m/s,12 m/s,A,HS-PS4.A (Wave Speed),HS
408,How much Work is done pushing a box with 10 N of force for 5 meters?,2 J,50 J,15 J,0.5 J,B,HS-PS3 (Work),HS
409,Calculate the density of a cube with mass 20g and volume 4cm^3.,80 g/cm^3,0.2 g/cm^3,5 g/cm^3,24 g/cm^3,C,HS-PS1 (Density),HS
410,"If the period of a pendulum is 2 seconds,  what is the frequency (f=1/T)?",2 Hz,0.5 Hz,4 Hz,10 Hz,B,HS-PS4 (Period/Freq),
411,Convert 2 hours into seconds.,120 seconds,7200 seconds,3600 seconds,60 seconds,B,HS-PS (Unit Conversion),12
412,Calculate the power used if 100 J of work is done in 20 seconds.,5 Watts,2000 Watts,120 Watts,80 Watts,A,HS-PS3 (Power),12
413,Two resistors of 3 Ohms and 6 Ohms are in Series. Total Resistance?,2 Ohms,18 Ohms,9 Ohms,3 Ohms,C,HS-PS3 (Circuits),12
414,Find the weight of a 50 kg person on Earth (g = 9.8 m/s^2).,50 N,490 N,5.1 N,5000 N,B,HS-PS2 (Weight vs Mass),12
415,A spring stretches 0.5 m when pulled by 10 N. Find the spring constant k (F=kx).,5 N/m,20 N/m,10 N/m,15 N/m,B,HS-PS2 (Hooke's Law),12
416,Specific Heat: Energy to heat 1kg of water by 1 deg C is 4184 J. Heat for 2kg?,4184 J,8368 J,2092 J,1000 J,B,HS-PS3 (Thermodynamics),12
417,Acceleration is defined as the rate of change of:,Position,Velocity,Force,Energy,B,HS-PS2 (Definitions),12
418,An object falls from rest for 3 seconds (v = gt). Velocity?,9.8 m/s,19.6 m/s,29.4 m/s,3 m/s,C,HS-PS2 (Free Fall),12
419,The slope of a Distance vs. Time graph represents:,Acceleration,Velocity,Displacement,Force,B,HS-PS2 (Graphing Motion),12
420,Pressure is Force divided by:,Mass,Volume,Area,Distance,C,HS-PS (Pressure Formula),12
421,What is 5 + 3?,7,8,9,6,B,1.OA.C.6 (Addition Facts),1
422,"Which number is the number ""seven""?",17,7,70,700,B,1.NBT.A.1 (Number Recognition),1
423,How many sides does a triangle have?,4,2,3,5,C,1.G.A.1 (Shapes),1
424,What comes next? 2 4 6 __,7,8,9,10,B,1.OA.C.5 (Skip Counting),1
425,Which object is the heaviest?,Feather,Car,Pencil,Shoe,B,1.MD.A.1 (Measurement Concepts),1
426,Solve: 10 - 4,5,6,7,4,B,1.OA.D.8 (Subtraction),1
427,What is 10 more than 25?,35,26,15,45,A,1.NBT.C.5 (Mental Math),1
428,Which number is greater than 12?,10,9,11,15,D,1.NBT.B.3 (Comparing Numbers),1
429,How many pennies are in a nickel?,1,10,5,25,C,2.MD.C.8 (Money),1
430,What time is it when the big hand is on 12 and little hand is on 3?,0.125,0.5,0.502083333,0.145833333,A,1.MD.B.3 (Time),1
431,Solve: 8 + 8,15,16,14,18,B,1.OA.C.6 (Doubles),1
432,Which shape is round?,Square,Triangle,Circle,Rectangle,C,1.G.A.1 (Shapes),1
433,Count the tally marks: ||||,5,6,4,3,C,1.MD.C.4 (Data),1
434,Subtract: 20 - 10,20,10,0,5,B,1.NBT.C.6 (Tens Subtraction),1
435,Which is a 2-digit number?,5,100,50,9,C,1.NBT.B.2 (Place Value),1
436,What is the sum of 6 and 4?,9,11,10,12,C,1.OA.C.6 (Making Ten),1
437,If you have 3 cats and get 2 more how many total?,6,5,4,1,B,1.OA.A.1 (Word Problems),1
438,Find the missing number: 5 + __ = 9,4,3,5,6,A,1.OA.D.8 (Missing Addend),1
439,Which is an odd number?,2,4,6,7,D,2.OA.C.3 (Odd/Even),2
440,What is the value of a Quarter?,10 cents,1 cent,25 cents,5 cents,C,2.MD.C.8 (Money),2
441,"Write ""One Hundred Twenty"" as a number.",10020,120,102,210,B,2.NBT.A.3 (Number Names),2
442,Solve: 45 + 10,50,65,55,46,C,2.NBT.B.5 (Mental Math),2
443,How many inches are in 1 foot?,10,12,100,3,B,2.MD.A.1 (Measurement),2
444,Is 100 greater than less than or equal to 99?,Greater than,Less than,Equal to,None,A,2.NBT.A.4 (Comparing),2
445,Expanded form of 345?,3 + 4 + 5,300 + 40 + 5,30 + 40 + 50,300 + 4 + 5,B,2.NBT.A.3 (Place Value),2
446,Subtract: 50 - 25,20,30,25,15,C,2.NBT.B.5 (Subtraction),2
447,How many vertices (corners) does a square have?,3,4,5,6,B,2.G.A.1 (Geometry),2
448,What is 3 groups of 5?,8,10,15,35,C,2.OA.C.4 (Intro to Mult),2
449,If the sun is up it is likely:,PM,AM,Night,Midnight,A,2.MD.C.7 (Time),2
450,Add: 12 + 12 + 12,24,30,36,48,C,2.NBT.B.6 (Adding Multiple),2
451,Which tool measures length?,Scale,Ruler,Clock,Thermometer,B,2.MD.A.1 (Tools),2
452,How many minutes in 1 hour?,30,100,60,24,C,2.MD.C.7 (Time),2
453,Solve: 100 - 30,80,60,70,50,C,2.NBT.B.5 (Subtraction),2
454,Choose the even number.,11,13,15,18,D,2.OA.C.3 (Even Numbers),2
455,What fraction is half?,45660,45659,45661,45658,B,2.G.A.3 (Fractions),2
456,1 dollar is equal to how many cents?,50,100,25,10,B,2.MD.C.8 (Money),2
457,Measurement: A paperclip is about how long?,1 inch,1 foot,1 yard,1 mile,A,2.MD.A.3 (Estimation),2
458,Solve: 24 + 35,50,59,69,49,B,2.NBT.B.5 (Addition),2
459,Which solid shape looks like a ball?,Cube,Cone,Sphere,Cylinder,C,2.G.A.1 (3D Shapes),2
460,If you count by 5s: 5 10 15 __,16,20,25,30,B,2.NBT.A.2 (Skip Counting),2
461,Round 37 to the nearest 10.,30,40,35,50,B,3.NBT.A.1 (Rounding),3
462,Product of 9 and 3?,12,21,27,30,C,3.OA.A.1 (Multiplication),3
463,Which fraction is larger: 1/2 or 1/8?,45659,45665,Equal,Depends,A,3.NF.A.3 (Comparing Fractions),3
464,Perimeter of a triangle with sides 3 3 3?,6,9,12,27,B,3.MD.D.8 (Perimeter),3
465,Division: 20 / 5,5,4,10,2,B,3.OA.A.2 (Division Facts),3
466,Area of a square with side 4?,8,12,16,20,C,3.MD.C.7 (Area),3
467,A rhombus has how many sides?,3,4,5,6,B,3.G.A.1 (Shapes),3
468,Find the missing factor: 6 x __ = 36,5,6,7,4,B,3.OA.A.4 (Algebraic Thinking),3
469,Identify the numerator in 3/4.,3,4,7,1,A,3.NF.A.1 (Fraction Parts),3
470,Which property: 5x2 = 2x5?,Associative,Distributive,Commutative,Identity,C,3.OA.B.5 (Properties),3
471,Solve: 345 + 234,579,569,589,479,A,3.NBT.A.2 (Addition),3
472,What time is 15 minutes after 1:00?,0.052083333,0.0625,0.076388889,0.53125,A,3.MD.A.1 (Elapsed Time),3
473,How many grams in 1 kilogram?,10,100,1000,500,C,3.MD.A.2 (Metric System),3
474,Is a square a rectangle?,Yes,No,Sometimes,Only if red,A,3.G.A.1 (Classifying Shapes),3
475,Estimate 19 x 5.,50,100,150,200,B,3.OA.D.8 (Estimation),3
476,Fraction equivalent to 2/4?,45660,45659,45721,45662,B,3.NF.A.3 (Equivalence),3
477,Solve: 6 x 8,42,48,54,56,B,3.OA.A.1 (Multiplication),3
478,Subtract: 500 - 200,200,300,400,100,B,3.NBT.A.2 (Subtraction),3
479,Which unit measures liquid?,Liters,Meters,Grams,Inches,A,3.MD.A.2 (Measurement),3
480,Any number multiplied by 1 is:,The number itself,1,0,Double,A,3.OA.A.1 (Identity Prop),3
481,Solve: 125 x 5,625,525,600,725,A,4.NBT.B.5 (Multi-Digit Mult),4
482,Factors of 10?,1 2 5 10,1 10,2 5,1 2 3 10,A,4.OA.B.4 (Factors),4
483,Is 41 prime or composite?,Prime,Composite,Neither,Both,A,4.OA.B.4 (Prime Numbers),4
484,Compare: 0.3 ___ 0.30,>,<,=,Different,C,4.NF.C.7 (Decimals),4
485,How many degrees in a circle?,180,90,360,100,C,4.MD.C.5 (Angles),4
486,Subtract fractions: 5/8 - 2/8,45724,45846,36586,45732,A,4.NF.B.3 (Subtracting Fractions),4
487,Convert 3 meters to centimeters.,30,300,3000,3,B,4.MD.A.1 (Conversions),4
488,Lines that intersect at a right angle are:,Parallel,Perpendicular,Skew,Straight,B,4.G.A.1 (Lines),4
489,Solve: 456 / 3,152,142,162,132,A,4.NBT.B.6 (Division),4
490,A mixed number is:,Whole number + Fraction,Two fractions,Two decimals,A negative number,A,4.NF.B.3 (Definitions),4
491,Symmetry: How many lines for a rectangle?,1,2,4,0,B,4.G.A.3 (Symmetry),4
492,Multiply: 24 x 13,312,212,400,302,A,4.NBT.B.5 (2-digit Mult),4
493,Decompose 5/6.,1/6+1/6+3/6,2/6+2/6,1/6+4/6,All of these,D,4.NF.B.3 (Fractions),4
494,Angle measuring 120 degrees is:,Acute,Right,Obtuse,Straight,C,4.MD.C.5 (Classifying Angles),4
495,Round 15678 to thousands.,15000,16000,15600,15700,B,4.NBT.A.3 (Rounding),4
496,Formula for Area of Rectangle?,L + W,L x W,2L + 2W,L / W,B,4.MD.A.3 (Area),4
497,What is 1/10 of 30?,3,10,30,0.3,A,4.NBT.A.1 (Place Value),4
498,Add: 2.5 + 3.4,5.9,6,5.8,5.5,A,5.NBT.B.7 (Decimal Addition),5
499,Divide: 1 / 2,0.5,0.2,2,1.2,A,5.NBT.A.3 (Fractions/Decimals),5
500,Order of Operations: 5 + 2 x 3,21,11,10,13,B,5.OA.A.1 (PEMDAS),5
501,Volume of cube with side 2?,4,6,8,10,C,5.MD.C.5 (Volume),5
502,Coordinate pair (3 5): Move __ right.,3,5,0,8,A,5.G.A.1 (Graphing),5
503,Subtract: 5.0 - 1.5,4.5,3.5,2.5,3,B,5.NBT.B.7 (Decimal Sub),5
504,Multiply: 0.1 x 0.1,0.1,0.2,0.01,1,C,5.NBT.B.7 (Decimal Mult),5
505,Convert 1/4 to decimal.,0.4,0.25,0.75,0.14,B,5.NBT.A.3 (Conversions),5
506,Classify triangle with sides 3 3 3.,Isosceles,Scalene,Equilateral,Right,C,5.G.B.3 (Triangles),5
507,Solve: 240 / 60,40,4,6,24,B,5.NBT.B.6 (Mental Division),5
508,"Expression: ""Double 5 then add 3""",5 x 2 + 3,5 + 3 x 2,(5+3) x 2,5 x 5 + 3,A,5.OA.A.2 (Expressions),5
509,Multiplying by 100 moves decimal:,Left 2 spots,Right 2 spots,Left 1 spot,Right 1 spot,B,5.NBT.A.2 (Powers of 10),5
510,How many cm in 1 meter?,10,100,1000,50,B,5.MD.A.1 (Metric),5
511,Solve: 1/3 + 1/6,45697,3/6 (1/2),45666,45694,B,5.NF.A.1 (Unlike Fractions),5
512,10^4 is equal to:,100,1000,10000,40,C,5.NBT.A.2 (Exponents),5
513,Which is heavier: 1kg or 1g?,1kg,1g,Same,Depends on material,A,5.MD.A.1 (Measurement),5
514,A polygon with 8 sides?,Hexagon,Heptagon,Octagon,Nonagon,C,5.G.B.3 (Geometry),5
515,Reciprocal of 2/3?,45718,45660,45689,45719,A,5.NF.B.7 (Fraction Vocab),5
516,Solve: 3.2 x 10,32,0.32,320,3.2,A,5.NBT.A.2 (Mult by 10),5
517,Rounding 9.99 to nearest whole number?,9,10,9.9,9,B,5.NBT.A.4 (Rounding),5
518,A straight line is how many degrees?,90,100,180,360,C,4.MD.C.5 (Angles),1
519,Simplify: 20/25,45752,45721,45662,45693,A,5.NF.A.1 (Simplifying),5
520,If x + 5 = 12 what is x?,5,6,7,17,C,5.OA.B.3 (Pre-Algebra),5
521,Find the domain of the function f(x) = sqrt(2x - 6).,[3 infinity),(-infinity 3],(3 infinity),[0 infinity),A,College Alg (Domain),13+
522,If f(x) = x^2 + 1 and g(x) = x - 3 find f(g(x)).,x^2 - 6x + 10,x^2 - 2,x^2 - 6x - 8,x^2 + x - 2,A,College Alg (Composite Functions),13+
523,Find the inverse of f(x) = (2x + 1) / (x - 1).,f^-1(x) = (x+1)/(x-2),f^-1(x) = (x-1)/(x+2),f^-1(x) = (2x-1)/(x+1),f^-1(x) = x,A,College Alg (Inverse Functions),13+
524,Solve for x: log_2(x) + log_2(x - 2) = 3.,x = 4,x = 2,x = -2,x = 3,A,College Alg (Log Equations),13+
525,Identify the horizontal asymptote of f(x) = (3x^2)/(x^2 - 4).,y = 3,y = 0,y = 1,None,A,College Alg (Rational Functions),13+
526,Solve the system using matrices: 2x - y = 5 and x + y = 4.,(3 1),(2 2),(1 3),(4 0),A,College Alg (Systems),13+
527,What is the determinant of the matrix [[2 3] [1 4]]?,5,11,8,6,A,College Alg (Matrices),13+
528,"Find the sum of the infinite geometric series: 5, 2.5, 1.25, …",10,15,5,20,A,College Alg (Series),13+
529,"Which equation represents a circle with center (-2, 5) and radius 4?",(x+2)^2 + (y-5)^2 = 16,(x-2)^2 + (y+5)^2 = 16,(x+2)^2 + (y-5)^2 = 4,(x-2)^2 + (y-5)^2 = 16,A,College Alg (Conics),13+
530,Solve the inequality: |2x - 5| > 9.,x > 7 or x < -2,#NAME?,x > 7,x < -2,A,College Alg (Absolute Value),13+
531,Find the vertex of the parabola y = 2x^2 - 12x + 10.,(3 -8),(3 8),(-3 -8),(-3 8),A,College Alg (Quadratics),13+
